"name","param","est","se","N","bic","rr","rr_low","rr_high"
"2002-2005","(Intercept)",-4.63567237357566,0.0406500519304694,15696,72352.4099512097,-99.0300416898039,-99.1043237768204,-98.9495990859523
"2002-2005","pm25Exp_10ug",0.0285776934794155,0.00686626047653702,15696,72352.4099512097,2.89899535387444,1.52347057405917,4.29315689235435
"2002-2005","landTemp",-0.0121840167982917,0.000933670978991849,15696,72352.4099512097,-1.21100922030469,-1.39162727573947,-1.03006033209124
"2002-2005","commune1107",-1.77207743368296,0.00417822111666412,15696,72352.4099512097,-83.0020499361633,-83.1406830464247,-82.8622768544955
"2002-2005","commune1401",-0.40265626588013,0.0129133636680746,15696,72352.4099512097,-33.1458139519068,-34.8166722212563,-31.4321262129462
"2002-2005","commune1403",-1.19417165556915,0.00297176923108453,15696,72352.4099512097,-69.7045198803695,-69.8804680673582,-69.5275438631817
"2002-2005","commune1404",-0.727311348220031,0.0104529380761172,15696,72352.4099512097,-51.6793581060192,-52.659267405321,-50.6791655921951
"2002-2005","commune1405",-0.362796906466554,0.00745561038196986,15696,72352.4099512097,-30.4272283047916,-31.4365027417625,-29.4030970572749
"2002-2005","commune2101",-0.0976075416065456,0.00217403220457809,15696,72352.4099512097,-9.29952044420898,-9.68518228474342,-8.91221175259287
"2002-2005","commune2102",-0.0724282620338101,0.00272626292484754,15696,72352.4099512097,-6.98675299213608,-7.48244145416463,-6.48840874178742
"2002-2005","commune2104",-0.0544719688370792,0.00237526443286703,15696,72352.4099512097,-5.30149464218961,-5.74134061585227,-4.85959618356895
"2002-2005","commune2201",-0.0341651110727844,0.00543415344447794,15696,72352.4099512097,-3.35880738460969,-4.38266479988168,-2.32398664344485
"2002-2005","commune2203",-0.743108125933906,0.00556059094868277,15696,72352.4099512097,-52.4366712432194,-52.9522378441119,-51.9154548747762
"2002-2005","commune2301",0.0587508038077285,0.00228121830358179,15696,72352.4099512097,6.05109325229792,5.57797737319854,6.5263292575886
"2002-2005","commune2302",-0.274098151670176,0.0125805629690815,15696,72352.4099512097,-23.9742548939889,-25.8259668854713,-22.0763159797489
"2002-2005","commune3101",-0.084685153646421,0.0020383260503747,15696,72352.4099512097,-8.11984798250563,-8.48618785598319,-7.75204161014933
"2002-2005","commune3102",-0.373917654924029,0.00344009846357512,15696,72352.4099512097,-31.1966434327399,-31.6589959831477,-30.731162893741
"2002-2005","commune3103",-0.0360085240577512,0.0031845386174848,15696,72352.4099512097,-3.53679291314027,-4.13701175675179,-2.93281596990315
"2002-2005","commune3201",-0.25416966307459,0.00242508186501522,15696,72352.4099512097,-22.4439793045864,-22.81174080813,-22.0744656106849
"2002-2005","commune3202",-0.230229754835654,0.00639268936358748,15696,72352.4099512097,-20.5648924464901,-21.5539788187089,-19.5633351823512
"2002-2005","commune3301",-0.0786635210484881,0.00290094971840848,15696,72352.4099512097,-7.56491032550981,-8.08899209824615,-7.03784020882225
"2002-2005","commune3302",-0.736910661473641,0.00223229493521446,15696,72352.4099512097,-52.1409838941286,-52.3499239342802,-51.9311276762081
"2002-2005","commune3303",-0.462274327093655,0.00321706942725677,15696,72352.4099512097,-37.0150468551432,-37.4109462359529,-36.6166432613714
