"name","param","est","se","N","bic","rr","rr_low","rr_high"
"2002-2004","(Intercept)",-4.61341112985979,0.0428715685099328,11772,54479.1392202496,-99.00820708038,-99.0881403726659,-98.9212668639753
"2002-2004","pm25Exp_10ug",0.025006036318325,0.00730463283782285,11772,54479.1392202496,2.53213096715595,1.07462869332566,4.01065051214205
"2002-2004","landTemp",-0.0122290999094207,0.0010172132984457,11772,54479.1392202496,-1.21546283496218,-1.41221712350497,-1.01831587859655
"2002-2004","commune1107",-27.4808719358072,1.00154355133474,11772,54479.1392202496,-99.9999999998838,-99.9999999999837,-99.9999999991726
"2002-2004","commune1401",-0.333590902952938,0.0141416933256645,11772,54479.1392202496,-28.3653222357252,-30.3236071306524,-26.3519989042231
"2002-2004","commune1403",-1.61604279974616,0.00341476170520117,11772,54479.1392202496,-80.1316624597437,-80.2641958971293,-79.9982390098746
"2002-2004","commune1404",-0.684225016426709,0.0114690903118797,11772,54479.1392202496,-49.5518957360505,-50.6732883611647,-48.4050093900317
"2002-2004","commune1405",-0.365108120210088,0.00810635266971615,11772,54479.1392202496,-30.587840175233,-31.6819768061566,-29.4761805699732
"2002-2004","commune2101",-0.112119641732852,0.00215261233308323,11772,54479.1392202496,-10.6062701105372,-10.9826384696612,-10.2283104534988
"2002-2004","commune2102",0.0197536419318502,0.00290855439254967,11772,54479.1392202496,1.99500361521426,1.41520811391406,2.57811383458856
"2002-2004","commune2104",0.0408406191920979,0.0023783857783838,11772,54479.1392202496,4.16860675471699,3.68414069387919,4.65533649216465
"2002-2004","commune2201",-0.0294273938723068,0.00582005897226425,11772,54479.1392202496,-2.89986242682568,-4.00122062625809,-1.78586875544903
"2002-2004","commune2203",-0.678846343841265,0.00603823700224976,11772,54479.1392202496,-49.279820855738,-49.8765532496502,-48.6759842107611
"2002-2004","commune2301",-0.0521129325926181,0.00261082614881873,11772,54479.1392202496,-5.07783372737569,-5.5623305685065,-4.59085125534698
"2002-2004","commune2302",-0.20870999714958,0.0136333624392026,11772,54479.1392202496,-18.8369423302296,-20.9770119227561,-16.6389162117314
"2002-2004","commune3101",-0.118930809690562,0.00204013368121958,11772,54479.1392202496,-11.2130769416444,-11.5673969632072,-10.8573372776266
"2002-2004","commune3102",-0.372715453671086,0.00390530421085718,11772,54479.1392202496,-31.1138782110098,-31.6391470111536,-30.5845733683014
"2002-2004","commune3103",-0.0864362767584107,0.0034286367343582,11772,54479.1392202496,-8.28060065030255,-8.89490035581083,-7.66215887009525
"2002-2004","commune3201",-0.200801478959745,0.00261136316867932,11772,54479.1392202496,-18.1925179501114,-18.6101611619062,-17.7727316470554
"2002-2004","commune3202",-0.226527076860347,0.0070447392554515,11772,54479.1392202496,-20.2702246299219,-21.3635430966427,-19.1617052587257
"2002-2004","commune3301",-0.0689281296013873,0.00286598415986902,11772,54479.1392202496,-6.66062389507258,-7.18347199522309,-6.13483052060825
"2002-2004","commune3302",-0.650691985716493,0.00232335393759685,11772,54479.1392202496,-47.8315346499379,-48.0685579515076,-47.5934295365934
"2002-2004","commune3303",-0.514180071889527,0.00323188601561036,11772,54479.1392202496,-40.2009296948828,-40.5785294869286,-39.8209304064643
"2002-2004","commune3304",-0.437831284011204,0.0061703129842626,11772,54479.1392202496,-35.4565331180012,-36.2324086621607,-34.6712173104195
"2002-2004","commune4101",-0.286778882230141,0.00507861306902849,11772,54479.1392202496,-24.9322301334436,-25.6757541527364,-24.181268057283
"2002-2004","commune4102",-0.305834175427691,0.00528563293466594,11772,54479.1392202496,-26.3491259422613,-27.1081985295,-25.582148608795
"2002-2004","commune4103",-0.14931227224927,0.00237715291144493,11772,54479.1392202496,-13.8699887223318,-14.2703539491433,-13.467753753579
"2002-2004","commune4104",-0.862643997312004,0.00300151290020037,11772,54479.1392202496,-57.7955279288969,-58.0430864698014,-57.5465087173657
"2002-2004","commune4105",-0.412092618145261,0.00162308115005913,11772,54479.1392202496,-33.7737064353226,-33.9840533475164,-33.5626892938022
"2002-2004","commune4106",-0.234541506794947,0.00193763154818292,11772,54479.1392202496,-20.9066595900567,-21.2064672843976,-20.6057111338984
"2002-2004","commune4201",-0.165346563822907,0.00262549171774132,11772,54479.1392202496,-15.2400094282708,-15.675060928948,-14.802713398154
"2002-2004","commune4202",-0.409562834327294,0.00270740834244978,11772,54479.1392202496,-33.6059561330027,-33.9573443291087,-33.2526983321223
"2002-2004","commune4203",-0.425329535986724,0.00845316959042657,11772,54479.1392202496,-34.6445620047557,-35.718463899532,-33.552719261805
