name,param,est,se,N,bic,rr,rr_low,rr_high
Year+Quarter,(Intercept),-4.915193021,0.0195962,70632,329531.4226,-99.26656979,-99.29420566,-99.23785182
Year+Quarter,pm25Exp_10ug,0.016251289,0.00326773,70632,329531.4226,1.638405976,0.989517583,2.291463675
Year+Quarter,landTemp,-0.012860331,0.000388075,70632,329531.4226,-1.277799078,-1.352861291,-1.202679749
Year+Quarter,year2003,0.005506442,0.007877869,70632,329531.4226,0.552163015,-0.988499978,2.11679941
Year+Quarter,year2004,0.004922121,0.015595252,70632,329531.4226,0.49342542,-2.531854464,3.612605915
Year+Quarter,year2005,-0.031182136,0.009975813,70632,329531.4226,-3.070098749,-4.946921591,-1.156218044
Year+Quarter,year2006,-0.078081108,0.010460281,70632,329531.4226,-7.511059251,-9.387975371,-5.595265134
Year+Quarter,year2007,-0.023169836,0.011661775,70632,329531.4226,-2.290347695,-4.498374299,-0.031270845
Year+Quarter,year2008,-0.103730839,0.011936995,70632,329531.4226,-9.853209551,-11.93784809,-7.719222708
Year+Quarter,year2009,-0.105194667,0.012527714,70632,329531.4226,-9.985072422,-12.16841279,-7.747458014
Year+Quarter,year2010,-0.048933453,0.011883506,70632,329531.4226,-4.775550377,-6.967856571,-2.5315824
Year+Quarter,year2011,-0.122316847,0.011951867,70632,329531.4226,-11.5132044,-13.56197532,-9.415873119
Year+Quarter,year2012,-0.081427024,0.011699071,70632,329531.4226,-7.820002373,-9.909656643,-5.68187837
Year+Quarter,year2013,-0.115523623,0.011623695,70632,329531.4226,-10.9100474,-12.91678804,-8.857063532
Year+Quarter,year2014,-0.11996426,0.01190113,70632,329531.4226,-11.3047864,-13.34976651,-9.211543935
Year+Quarter,year2015,-0.13301052,0.011871444,70632,329531.4226,-12.45441173,-14.46790923,-10.39351481
Year+Quarter,year2016,-0.144167766,0.011693913,70632,329531.4226,-13.42575063,-15.38747119,-11.41854808
Year+Quarter,year2017,-0.137582521,0.011693272,70632,329531.4226,-12.85375671,-14.82833123,-10.83340471
Year+Quarter,year2018,-0.166325731,0.011339608,70632,329531.4226,-15.32296297,-17.18420331,-13.41989227
Year+Quarter,year2019,-0.167402157,0.011980788,70632,329531.4226,-15.41406251,-17.3771989,-13.40428156
Year+Quarter,quarter2,-0.031319569,0.006271917,70632,329531.4226,-3.083419167,-4.267517609,-1.884674817
Year+Quarter,quarter3,0.084652893,0.006499956,70632,329531.4226,8.833923091,7.456183152,10.2293276
Year+Quarter,quarter4,0.089718798,0.004291906,70632,329531.4226,9.386664345,8.470348438,10.31072094
Year+Quarter,commune1101,0.236034553,0.003015578,70632,329531.4226,26.62180605,25.875611,27.37242457
Year+Quarter,commune1107,-0.003535043,0.003267288,70632,329531.4226,-0.352880228,-0.988970026,0.287296087
Year+Quarter,commune1401,-0.171375872,0.005474262,70632,329531.4226,-15.74951601,-16.64865386,-14.84067887
Year+Quarter,commune1403,-1.099872256,0.003185605,70632,329531.4226,-66.70863913,-66.91585569,-66.50012471
Year+Quarter,commune1404,-0.435814985,0.004941617,70632,329531.4226,-35.32626289,-35.94964115,-34.69681751
Year+Quarter,commune1405,-0.243588542,0.003668135,70632,329531.4226,-21.61899272,-22.18049565,-21.05343829
Year+Quarter,commune2101,0.285673182,0.004119384,70632,329531.4226,33.06575014,31.9957038,34.14447099
Year+Quarter,commune2102,0.270885944,0.003622277,70632,329531.4226,31.11255201,30.18499373,32.04671908
Year+Quarter,commune2104,0.207496304,0.003964854,70632,329531.4226,23.0593168,22.10671503,24.01935018
Year+Quarter,commune2201,0.294499474,0.004949723,70632,329531.4226,34.24542571,32.94934644,35.55414002
