CODIGO_COMUNA_RESIDENCIA,Year,Gender,Death_count_all_cause,Mean_age,Age group
1101,1990,Hombre,121,81.99173553719008,75+
1101,1990,Mujer,149,83.44295302013423,75+
1101,1991,Hombre,117,82.56410256410257,75+
1101,1991,Mujer,150,83.77333333333333,75+
1101,1992,Hombre,108,82.26851851851852,75+
1101,1992,Mujer,150,83.70666666666666,75+
1101,1993,Hombre,118,82.96610169491525,75+
1101,1993,Mujer,143,84.13286713286713,75+
1101,1994,Hombre,132,82.65151515151516,75+
1101,1994,Mujer,144,84.86805555555556,75+
1101,1995,Hombre,113,82.3716814159292,75+
1101,1995,Mujer,151,84.5364238410596,75+
1101,1996,Hombre,142,82.08450704225352,75+
1101,1996,Mujer,164,85.4390243902439,75+
1101,1997,Hombre,124,82.54032258064517,75+
1101,1997,Mujer,159,83.84276729559748,75+
1101,1998,Hombre,142,82.47887323943662,75+
1101,1998,Mujer,166,84.74096385542168,75+
1101,1999,Hombre,150,83.06,75+
1101,1999,Mujer,175,85.02285714285715,75+
1101,2000,Hombre,155,82.43870967741935,75+
1101,2000,Mujer,177,84.24293785310735,75+
1101,2001,Hombre,152,83.21710526315789,75+
1101,2001,Mujer,186,84.10752688172043,75+
1101,2002,Hombre,181,82.23204419889503,75+
1101,2002,Mujer,191,83.34031413612566,75+
1101,2003,Hombre,168,81.91666666666667,75+
1101,2003,Mujer,209,84.11483253588517,75+
1101,2004,Hombre,205,81.61951219512196,75+
1101,2004,Mujer,229,84.22707423580786,75+
1101,2005,Hombre,170,82.58235294117647,75+
1101,2005,Mujer,230,83.7,75+
1101,2006,Hombre,151,82.58278145695364,75+
1101,2006,Mujer,220,84.65454545454546,75+
1101,2007,Hombre,181,81.99447513812154,75+
1101,2007,Mujer,238,85.1218487394958,75+
1101,2008,Hombre,167,82.95209580838323,75+
1101,2008,Mujer,219,85.2420091324201,75+
1101,2009,Hombre,191,82.67539267015707,75+
1101,2009,Mujer,217,84.83870967741936,75+
1101,2010,Hombre,202,83.7871287128713,75+
1101,2010,Mujer,252,85.45238095238095,75+
1101,2011,Hombre,199,81.89447236180905,75+
1101,2011,Mujer,263,84.47148288973384,75+
1101,2012,Hombre,206,83.87864077669903,75+
1101,2012,Mujer,269,85.38289962825279,75+
1101,2013,Hombre,218,82.91743119266054,75+
1101,2013,Mujer,277,84.92779783393502,75+
1101,2014,Hombre,202,83.08415841584159,75+
1101,2014,Mujer,272,86.02573529411765,75+
1101,2015,Hombre,202,84.00990099009901,75+
1101,2015,Mujer,273,85.95238095238095,75+
1101,2016,Hombre,217,83.88479262672811,75+
1101,2016,Mujer,296,85.20270270270271,75+
1101,2017,Hombre,204,83.73039215686275,75+
1101,2017,Mujer,301,86.24916943521595,75+
1101,2018,Hombre,195,84.05641025641026,75+
1101,2018,Mujer,278,85.22302158273381,75+
1101,2019,Hombre,223,83.31838565022422,75+
1101,2019,Mujer,287,86.38675958188153,75+
1107,2005,Hombre,14,80.21428571428571,75+
1107,2005,Mujer,16,81.6875,75+
1107,2006,Hombre,19,82.94736842105263,75+
1107,2006,Mujer,18,81.27777777777777,75+
1107,2007,Hombre,27,80.51851851851852,75+
1107,2007,Mujer,21,82.57142857142857,75+
1107,2008,Hombre,27,81.11111111111111,75+
1107,2008,Mujer,23,83.8695652173913,75+
1107,2009,Hombre,25,82.36,75+
1107,2009,Mujer,24,84.33333333333333,75+
1107,2010,Hombre,28,80.07142857142857,75+
1107,2010,Mujer,39,81.84615384615384,75+
1107,2011,Hombre,31,80.83870967741936,75+
1107,2011,Mujer,30,82.23333333333333,75+
1107,2012,Hombre,24,81.79166666666667,75+
1107,2012,Mujer,38,83.8157894736842,75+
1107,2013,Hombre,38,81.15789473684211,75+
1107,2013,Mujer,55,84.9090909090909,75+
1107,2014,Hombre,38,81.0,75+
1107,2014,Mujer,38,83.57894736842105,75+
1107,2015,Hombre,34,82.17647058823529,75+
1107,2015,Mujer,58,83.03448275862068,75+
1107,2016,Hombre,39,82.12820512820512,75+
1107,2016,Mujer,57,84.91228070175438,75+
1107,2017,Hombre,36,83.58333333333333,75+
1107,2017,Mujer,53,83.86792452830188,75+
1107,2018,Hombre,38,83.13157894736842,75+
1107,2018,Mujer,39,84.05128205128206,75+
1107,2019,Hombre,50,80.64,75+
1107,2019,Mujer,43,85.18604651162791,75+
1401,1990,Hombre,3,83.66666666666667,75+
1401,1990,Mujer,4,87.75,75+
1401,1991,Hombre,6,83.33333333333333,75+
1401,1992,Hombre,5,81.8,75+
1401,1992,Mujer,5,84.4,75+
1401,1993,Hombre,11,84.0909090909091,75+
1401,1993,Mujer,3,88.33333333333333,75+
1401,1994,Hombre,9,84.44444444444444,75+
1401,1994,Mujer,9,88.0,75+
1401,1995,Hombre,4,78.25,75+
1401,1995,Mujer,3,80.0,75+
1401,1996,Hombre,2,89.5,75+
1401,1996,Mujer,6,81.83333333333333,75+
1401,1997,Hombre,4,82.0,75+
1401,1997,Mujer,2,91.0,75+
1401,1998,Hombre,3,81.66666666666667,75+
1401,1998,Mujer,4,84.25,75+
1401,1999,Hombre,9,84.88888888888889,75+
1401,1999,Mujer,4,88.5,75+
1401,2000,Hombre,3,82.66666666666667,75+
1401,2000,Mujer,4,86.75,75+
1401,2001,Hombre,5,81.8,75+
1401,2001,Mujer,5,83.0,75+
1401,2002,Hombre,6,83.33333333333333,75+
1401,2002,Mujer,3,84.33333333333333,75+
1401,2003,Hombre,8,80.625,75+
1401,2003,Mujer,6,80.33333333333333,75+
1401,2004,Hombre,12,82.66666666666667,75+
1401,2004,Mujer,3,82.0,75+
1401,2005,Hombre,5,84.6,75+
1401,2005,Mujer,5,82.0,75+
1401,2006,Hombre,2,85.5,75+
1401,2006,Mujer,4,91.5,75+
1401,2007,Hombre,8,81.0,75+
1401,2007,Mujer,4,80.75,75+
1401,2008,Hombre,4,84.25,75+
1401,2008,Mujer,4,83.25,75+
1401,2009,Hombre,11,82.9090909090909,75+
1401,2009,Mujer,6,84.66666666666667,75+
1401,2010,Hombre,6,84.83333333333333,75+
1401,2010,Mujer,7,82.28571428571429,75+
1401,2011,Hombre,10,81.5,75+
1401,2011,Mujer,7,89.42857142857143,75+
1401,2012,Hombre,10,84.3,75+
1401,2012,Mujer,3,84.33333333333333,75+
1401,2013,Hombre,5,80.6,75+
1401,2013,Mujer,11,85.18181818181819,75+
1401,2014,Hombre,11,83.36363636363636,75+
1401,2014,Mujer,7,82.42857142857143,75+
1401,2015,Hombre,14,83.07142857142857,75+
1401,2015,Mujer,11,89.9090909090909,75+
1401,2016,Hombre,12,82.16666666666667,75+
1401,2016,Mujer,8,84.75,75+
1401,2017,Hombre,5,84.0,75+
1401,2017,Mujer,6,89.0,75+
1401,2018,Hombre,10,82.9,75+
1401,2018,Mujer,7,84.42857142857143,75+
1401,2019,Hombre,17,84.29411764705883,75+
1401,2019,Mujer,10,85.3,75+
1402,1991,Hombre,1,82.0,75+
1402,1991,Mujer,1,99.0,75+
1402,1992,Mujer,1,84.0,75+
1402,1993,Hombre,1,93.0,75+
1402,1994,Mujer,3,85.33333333333333,75+
1402,1995,Hombre,2,82.0,75+
1402,1996,Hombre,1,80.0,75+
1402,1997,Mujer,1,83.0,75+
1402,1998,Mujer,1,76.0,75+
1402,2001,Hombre,1,89.0,75+
1402,2001,Mujer,1,86.0,75+
1402,2004,Hombre,3,80.0,75+
1402,2005,Hombre,1,88.0,75+
1402,2005,Mujer,1,75.0,75+
1402,2007,Mujer,1,83.0,75+
1402,2008,Hombre,2,84.0,75+
1402,2009,Hombre,2,81.5,75+
1402,2010,Hombre,3,80.33333333333333,75+
1402,2010,Mujer,1,92.0,75+
1402,2011,Hombre,1,81.0,75+
1402,2012,Hombre,1,86.0,75+
1402,2013,Mujer,3,84.66666666666667,75+
1402,2014,Hombre,1,77.0,75+
1402,2015,Mujer,1,85.0,75+
1402,2016,Hombre,2,78.5,75+
1402,2017,Hombre,2,80.5,75+
1402,2017,Mujer,2,89.5,75+
1402,2018,Hombre,3,82.0,75+
1402,2019,Hombre,1,98.0,75+
1402,2019,Mujer,1,86.0,75+
1403,1990,Hombre,1,83.0,75+
1403,1990,Mujer,2,81.0,75+
1403,1991,Mujer,1,76.0,75+
1403,1992,Mujer,2,93.5,75+
1403,1993,Mujer,1,93.0,75+
1403,1995,Mujer,3,81.33333333333333,75+
1403,1996,Hombre,1,77.0,75+
1403,1996,Mujer,1,80.0,75+
1403,1998,Hombre,2,80.0,75+
1403,1998,Mujer,1,78.0,75+
1403,1999,Mujer,1,76.0,75+
1403,2000,Hombre,1,80.0,75+
1403,2000,Mujer,2,82.0,75+
1403,2001,Hombre,2,78.5,75+
1403,2003,Hombre,1,80.0,75+
1403,2003,Mujer,1,78.0,75+
1403,2004,Hombre,1,86.0,75+
1403,2004,Mujer,1,88.0,75+
1403,2005,Hombre,2,77.5,75+
1403,2005,Mujer,2,84.0,75+
1403,2006,Hombre,3,86.0,75+
1403,2009,Hombre,1,90.0,75+
1403,2010,Hombre,1,88.0,75+
1403,2010,Mujer,3,82.66666666666667,75+
1403,2011,Hombre,1,87.0,75+
1403,2011,Mujer,1,85.0,75+
1403,2012,Mujer,1,80.0,75+
1403,2013,Mujer,1,84.0,75+
1403,2014,Hombre,1,87.0,75+
1403,2014,Mujer,1,77.0,75+
1403,2015,Hombre,1,89.0,75+
1403,2016,Hombre,1,86.0,75+
1403,2016,Mujer,2,93.5,75+
1403,2017,Mujer,1,92.0,75+
1403,2018,Hombre,1,97.0,75+
1403,2018,Mujer,1,81.0,75+
1403,2019,Mujer,1,97.0,75+
1404,1990,Hombre,4,87.25,75+
1404,1990,Mujer,1,77.0,75+
1404,1991,Hombre,2,84.0,75+
1404,1991,Mujer,1,80.0,75+
1404,1992,Hombre,1,92.0,75+
1404,1992,Mujer,6,85.66666666666667,75+
1404,1993,Hombre,3,80.66666666666667,75+
1404,1993,Mujer,2,86.0,75+
1404,1994,Hombre,1,90.0,75+
1404,1994,Mujer,3,88.0,75+
1404,1995,Hombre,2,85.0,75+
1404,1995,Mujer,3,89.0,75+
1404,1996,Hombre,1,93.0,75+
1404,1996,Mujer,2,84.5,75+
1404,1997,Hombre,4,79.5,75+
1404,1998,Hombre,3,84.33333333333333,75+
1404,1999,Hombre,4,81.75,75+
1404,1999,Mujer,1,87.0,75+
1404,2000,Hombre,3,86.0,75+
1404,2000,Mujer,2,88.0,75+
1404,2001,Hombre,2,83.0,75+
1404,2001,Mujer,2,82.5,75+
1404,2002,Hombre,1,81.0,75+
1404,2003,Hombre,4,83.25,75+
1404,2003,Mujer,3,78.33333333333333,75+
1404,2004,Hombre,3,86.66666666666667,75+
1404,2004,Mujer,4,90.0,75+
1404,2005,Hombre,2,84.5,75+
1404,2005,Mujer,2,84.5,75+
1404,2006,Hombre,1,82.0,75+
1404,2006,Mujer,2,84.0,75+
1404,2007,Hombre,1,78.0,75+
1404,2007,Mujer,1,96.0,75+
1404,2008,Hombre,5,86.8,75+
1404,2008,Mujer,2,81.0,75+
1404,2009,Hombre,2,85.5,75+
1404,2009,Mujer,1,96.0,75+
1404,2010,Hombre,3,83.33333333333333,75+
1404,2011,Hombre,4,83.75,75+
1404,2011,Mujer,3,86.0,75+
1404,2012,Hombre,4,84.25,75+
1404,2012,Mujer,1,78.0,75+
1404,2013,Hombre,6,86.66666666666667,75+
1404,2013,Mujer,3,87.0,75+
1404,2014,Hombre,1,92.0,75+
1404,2014,Mujer,2,85.5,75+
1404,2015,Hombre,1,84.0,75+
1404,2015,Mujer,1,93.0,75+
1404,2016,Hombre,2,89.0,75+
1404,2016,Mujer,1,76.0,75+
1404,2017,Hombre,6,85.5,75+
1404,2017,Mujer,3,91.66666666666667,75+
1404,2018,Hombre,4,91.0,75+
1404,2018,Mujer,3,83.33333333333333,75+
1404,2019,Hombre,3,83.66666666666667,75+
1404,2019,Mujer,4,88.25,75+
1405,1990,Hombre,2,79.5,75+
1405,1990,Mujer,1,78.0,75+
1405,1991,Hombre,7,82.14285714285714,75+
1405,1991,Mujer,2,82.0,75+
1405,1992,Hombre,1,80.0,75+
1405,1992,Mujer,6,88.16666666666667,75+
1405,1993,Hombre,4,80.75,75+
1405,1993,Mujer,1,94.0,75+
1405,1994,Hombre,3,84.66666666666667,75+
1405,1994,Mujer,8,83.75,75+
1405,1995,Hombre,2,83.5,75+
1405,1995,Mujer,4,86.75,75+
1405,1996,Hombre,3,82.66666666666667,75+
1405,1996,Mujer,3,83.66666666666667,75+
1405,1997,Hombre,3,83.66666666666667,75+
1405,1997,Mujer,1,78.0,75+
1405,1998,Hombre,3,87.66666666666667,75+
1405,1998,Mujer,6,86.33333333333333,75+
1405,1999,Hombre,4,83.25,75+
1405,1999,Mujer,4,87.0,75+
1405,2000,Hombre,6,81.33333333333333,75+
1405,2000,Mujer,2,86.0,75+
1405,2001,Hombre,1,86.0,75+
1405,2001,Mujer,5,88.6,75+
1405,2002,Hombre,7,85.42857142857143,75+
1405,2002,Mujer,4,87.5,75+
1405,2003,Hombre,7,84.28571428571429,75+
1405,2003,Mujer,3,86.0,75+
1405,2004,Hombre,5,83.2,75+
1405,2004,Mujer,2,95.5,75+
1405,2005,Hombre,7,82.42857142857143,75+
1405,2005,Mujer,3,86.0,75+
1405,2006,Hombre,3,84.33333333333333,75+
1405,2006,Mujer,4,84.5,75+
1405,2007,Hombre,1,76.0,75+
1405,2007,Mujer,3,84.66666666666667,75+
1405,2008,Hombre,2,81.5,75+
1405,2008,Mujer,1,83.0,75+
1405,2009,Hombre,4,84.75,75+
1405,2009,Mujer,2,82.0,75+
1405,2010,Hombre,2,81.5,75+
1405,2010,Mujer,7,85.85714285714286,75+
1405,2011,Hombre,5,82.6,75+
1405,2011,Mujer,1,91.0,75+
1405,2012,Hombre,8,84.875,75+
1405,2012,Mujer,9,85.88888888888889,75+
1405,2013,Hombre,7,87.85714285714286,75+
1405,2013,Mujer,4,92.25,75+
1405,2014,Hombre,9,83.88888888888889,75+
1405,2014,Mujer,8,85.125,75+
1405,2015,Hombre,6,85.33333333333333,75+
1405,2015,Mujer,6,88.16666666666667,75+
1405,2016,Hombre,9,85.55555555555556,75+
1405,2016,Mujer,10,88.4,75+
1405,2017,Hombre,3,86.33333333333333,75+
1405,2017,Mujer,7,87.42857142857143,75+
1405,2018,Hombre,6,86.16666666666667,75+
1405,2018,Mujer,11,87.81818181818181,75+
1405,2019,Hombre,6,85.16666666666667,75+
1405,2019,Mujer,7,91.0,75+
2101,1990,Hombre,172,81.59302325581395,75+
2101,1990,Mujer,242,82.7892561983471,75+
2101,1991,Hombre,208,81.54326923076923,75+
2101,1991,Mujer,248,82.95564516129032,75+
2101,1992,Hombre,197,81.34010152284264,75+
2101,1992,Mujer,229,83.51528384279476,75+
