CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Gender,Mortality_Count
1101,1990.0,1,Hombre,25
1101,1990.0,1,Mujer,24
1101,1990.0,2,Hombre,38
1101,1990.0,2,Mujer,44
1101,1990.0,3,Hombre,28
1101,1990.0,3,Mujer,41
1101,1990.0,4,Hombre,30
1101,1990.0,4,Mujer,40
1101,1991.0,1,Hombre,28
1101,1991.0,1,Mujer,26
1101,1991.0,2,Hombre,30
1101,1991.0,2,Mujer,37
1101,1991.0,3,Hombre,30
1101,1991.0,3,Mujer,54
1101,1991.0,4,Hombre,29
1101,1991.0,4,Mujer,33
1101,1992.0,1,Hombre,22
1101,1992.0,1,Mujer,34
1101,1992.0,2,Hombre,21
1101,1992.0,2,Mujer,33
1101,1992.0,3,Hombre,35
1101,1992.0,3,Mujer,42
1101,1992.0,4,Hombre,30
1101,1992.0,4,Mujer,41
1101,1993.0,1,Hombre,29
1101,1993.0,1,Mujer,29
1101,1993.0,2,Hombre,25
1101,1993.0,2,Mujer,42
1101,1993.0,3,Hombre,35
1101,1993.0,3,Mujer,39
1101,1993.0,4,Hombre,29
1101,1993.0,4,Mujer,33
1101,1994.0,1,Hombre,26
1101,1994.0,1,Mujer,24
1101,1994.0,2,Hombre,27
1101,1994.0,2,Mujer,47
1101,1994.0,3,Hombre,44
1101,1994.0,3,Mujer,42
1101,1994.0,4,Hombre,35
1101,1994.0,4,Mujer,31
1101,1995.0,1,Hombre,23
1101,1995.0,1,Mujer,31
1101,1995.0,2,Hombre,32
1101,1995.0,2,Mujer,34
1101,1995.0,3,Hombre,39
1101,1995.0,3,Mujer,42
1101,1995.0,4,Hombre,19
1101,1995.0,4,Mujer,44
1101,1996.0,1,Hombre,40
1101,1996.0,1,Mujer,35
1101,1996.0,2,Hombre,32
1101,1996.0,2,Mujer,48
1101,1996.0,3,Hombre,42
1101,1996.0,3,Mujer,50
1101,1996.0,4,Hombre,28
1101,1996.0,4,Mujer,31
