CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Gender,Mortality_Count
1101,1997.0,1,Hombre,12
1101,1997.0,1,Mujer,24
1101,1997.0,2,Hombre,9
1101,1997.0,2,Mujer,22
1101,1997.0,3,Hombre,20
1101,1997.0,3,Mujer,20
1101,1997.0,4,Hombre,15
1101,1997.0,4,Mujer,27
1101,1998.0,1,Hombre,15
1101,1998.0,1,Mujer,20
1101,1998.0,2,Hombre,21
1101,1998.0,2,Mujer,22
1101,1998.0,3,Hombre,31
1101,1998.0,3,Mujer,35
1101,1998.0,4,Hombre,16
1101,1998.0,4,Mujer,15
1101,1999.0,1,Hombre,14
1101,1999.0,1,Mujer,26
1101,1999.0,2,Hombre,24
1101,1999.0,2,Mujer,15
1101,1999.0,3,Hombre,25
1101,1999.0,3,Mujer,30
1101,1999.0,4,Hombre,20
1101,1999.0,4,Mujer,19
1101,2000.0,1,Hombre,19
1101,2000.0,1,Mujer,18
1101,2000.0,2,Hombre,20
1101,2000.0,2,Mujer,20
1101,2000.0,3,Hombre,17
1101,2000.0,3,Mujer,23
1101,2000.0,4,Hombre,16
1101,2000.0,4,Mujer,17
1101,2001.0,1,Hombre,20
1101,2001.0,1,Mujer,18
1101,2001.0,2,Hombre,12
1101,2001.0,2,Mujer,19
1101,2001.0,3,Hombre,22
1101,2001.0,3,Mujer,20
1101,2001.0,4,Hombre,9
1101,2001.0,4,Mujer,23
1101,2002.0,1,Hombre,15
1101,2002.0,1,Mujer,14
1101,2002.0,2,Hombre,20
1101,2002.0,2,Mujer,21
1101,2002.0,3,Hombre,31
1101,2002.0,3,Mujer,24
1101,2002.0,4,Hombre,14
1101,2002.0,4,Mujer,12
1101,2003.0,1,Hombre,17
1101,2003.0,1,Mujer,13
1101,2003.0,2,Hombre,22
1101,2003.0,2,Mujer,20
1101,2003.0,3,Hombre,18
1101,2003.0,3,Mujer,27
1101,2003.0,4,Hombre,12
1101,2003.0,4,Mujer,24
1101,2004.0,1,Hombre,16
1101,2004.0,1,Mujer,22
1101,2004.0,2,Hombre,32
1101,2004.0,2,Mujer,28
1101,2004.0,3,Hombre,26
1101,2004.0,3,Mujer,24
1101,2004.0,4,Hombre,27
1101,2004.0,4,Mujer,20
1101,2005.0,1,Hombre,16
1101,2005.0,1,Mujer,13
1101,2005.0,2,Hombre,13
1101,2005.0,2,Mujer,24
1101,2005.0,3,Hombre,23
1101,2005.0,3,Mujer,37
1101,2005.0,4,Hombre,19
1101,2005.0,4,Mujer,23
1101,2006.0,1,Hombre,16
1101,2006.0,1,Mujer,23
1101,2006.0,2,Hombre,16
1101,2006.0,2,Mujer,15
1101,2006.0,3,Hombre,27
1101,2006.0,3,Mujer,29
1101,2006.0,4,Hombre,12
1101,2006.0,4,Mujer,22
1101,2007.0,1,Hombre,18
1101,2007.0,1,Mujer,9
1101,2007.0,2,Hombre,22
1101,2007.0,2,Mujer,25
1101,2007.0,3,Hombre,15
1101,2007.0,3,Mujer,41
1101,2007.0,4,Hombre,14
1101,2007.0,4,Mujer,20
1101,2008.0,1,Hombre,13
1101,2008.0,1,Mujer,20
1101,2008.0,2,Hombre,13
1101,2008.0,2,Mujer,23
1101,2008.0,3,Hombre,23
1101,2008.0,3,Mujer,24
1101,2008.0,4,Hombre,18
1101,2008.0,4,Mujer,23
1101,2009.0,1,Hombre,20
1101,2009.0,1,Mujer,16
1101,2009.0,2,Hombre,20
1101,2009.0,2,Mujer,24
1101,2009.0,3,Hombre,28
1101,2009.0,3,Mujer,22
1101,2009.0,4,Hombre,16
1101,2009.0,4,Mujer,19
1101,2010.0,1,Hombre,13
1101,2010.0,1,Mujer,27
1101,2010.0,2,Hombre,20
1101,2010.0,2,Mujer,24
1101,2010.0,3,Hombre,28
1101,2010.0,3,Mujer,33
1101,2010.0,4,Hombre,20
1101,2010.0,4,Mujer,24
1101,2011.0,1,Hombre,14
1101,2011.0,1,Mujer,19
1101,2011.0,2,Hombre,9
1101,2011.0,2,Mujer,24
1101,2011.0,3,Hombre,24
1101,2011.0,3,Mujer,37
1101,2011.0,4,Hombre,26
1101,2011.0,4,Mujer,25
1101,2012.0,1,Hombre,19
1101,2012.0,1,Mujer,29
1101,2012.0,2,Hombre,23
1101,2012.0,2,Mujer,26
1101,2012.0,3,Hombre,26
1101,2012.0,3,Mujer,25
1101,2012.0,4,Hombre,12
1101,2012.0,4,Mujer,14
1101,2013.0,1,Hombre,16
1101,2013.0,1,Mujer,26
1101,2013.0,2,Hombre,23
1101,2013.0,2,Mujer,34
1101,2013.0,3,Hombre,24
1101,2013.0,3,Mujer,31
1101,2013.0,4,Hombre,26
1101,2013.0,4,Mujer,35
1101,2014.0,1,Hombre,12
1101,2014.0,1,Mujer,29
1101,2014.0,2,Hombre,23
1101,2014.0,2,Mujer,33
1101,2014.0,3,Hombre,27
1101,2014.0,3,Mujer,37
1101,2014.0,4,Hombre,23
1101,2014.0,4,Mujer,31
1101,2015.0,1,Hombre,19
1101,2015.0,1,Mujer,31
1101,2015.0,2,Hombre,16
1101,2015.0,2,Mujer,35
1101,2015.0,3,Hombre,36
1101,2015.0,3,Mujer,31
1101,2015.0,4,Hombre,18
1101,2015.0,4,Mujer,37
1101,2016.0,1,Hombre,20
1101,2016.0,1,Mujer,21
1101,2016.0,2,Hombre,23
1101,2016.0,2,Mujer,35
1101,2016.0,3,Hombre,26
1101,2016.0,3,Mujer,41
1101,2016.0,4,Hombre,21
1101,2016.0,4,Mujer,31
1101,2017.0,1,Hombre,19
1101,2017.0,1,Mujer,35
1101,2017.0,2,Hombre,19
1101,2017.0,2,Mujer,41
1101,2017.0,3,Hombre,23
1101,2017.0,3,Mujer,26
1101,2017.0,4,Hombre,24
1101,2017.0,4,Mujer,27
1101,2018.0,1,Hombre,17
1101,2018.0,1,Mujer,20
1101,2018.0,2,Hombre,23
1101,2018.0,2,Mujer,29
1101,2018.0,3,Hombre,22
1101,2018.0,3,Mujer,35
1101,2018.0,4,Hombre,16
1101,2018.0,4,Mujer,19
1101,2019.0,1,Hombre,17
1101,2019.0,1,Mujer,27
1101,2019.0,2,Hombre,27
1101,2019.0,2,Mujer,29
1101,2019.0,3,Hombre,26
1101,2019.0,3,Mujer,35
1101,2019.0,4,Hombre,26
1101,2019.0,4,Mujer,28
1107,2005.0,1,Hombre,2
1107,2005.0,2,Hombre,3
1107,2005.0,3,Hombre,3
1107,2005.0,3,Mujer,4
1107,2005.0,4,Hombre,3
1107,2005.0,4,Mujer,1
1107,2006.0,1,Hombre,4
1107,2006.0,1,Mujer,3
1107,2006.0,2,Hombre,2
1107,2006.0,2,Mujer,1
1107,2006.0,3,Hombre,1
1107,2006.0,4,Hombre,3
1107,2006.0,4,Mujer,2
1107,2007.0,1,Hombre,5
1107,2007.0,2,Hombre,3
1107,2007.0,2,Mujer,1
1107,2007.0,3,Hombre,4
1107,2007.0,3,Mujer,4
1107,2007.0,4,Hombre,1
1107,2007.0,4,Mujer,5
1107,2008.0,1,Hombre,3
1107,2008.0,1,Mujer,3
1107,2008.0,2,Hombre,5
1107,2008.0,2,Mujer,2
1107,2008.0,3,Hombre,3
1107,2008.0,3,Mujer,2
1107,2008.0,4,Hombre,3
1107,2008.0,4,Mujer,2
1107,2009.0,1,Hombre,2
1107,2009.0,1,Mujer,4
1107,2009.0,2,Hombre,3
1107,2009.0,2,Mujer,2
1107,2009.0,3,Hombre,2
1107,2009.0,3,Mujer,2
1107,2009.0,4,Hombre,2
1107,2009.0,4,Mujer,2
1107,2010.0,1,Hombre,5
1107,2010.0,1,Mujer,3
1107,2010.0,2,Hombre,2
1107,2010.0,2,Mujer,3
1107,2010.0,3,Hombre,3
1107,2010.0,3,Mujer,6
1107,2010.0,4,Hombre,4
1107,2010.0,4,Mujer,2
1107,2011.0,1,Hombre,2
1107,2011.0,1,Mujer,4
1107,2011.0,2,Hombre,2
1107,2011.0,2,Mujer,4
1107,2011.0,3,Hombre,6
1107,2011.0,3,Mujer,1
1107,2011.0,4,Hombre,1
1107,2011.0,4,Mujer,5
1107,2012.0,1,Mujer,2
1107,2012.0,2,Mujer,5
1107,2012.0,3,Hombre,4
1107,2012.0,3,Mujer,4
1107,2012.0,4,Hombre,5
1107,2012.0,4,Mujer,2
1107,2013.0,1,Hombre,4
1107,2013.0,1,Mujer,5
1107,2013.0,2,Hombre,2
1107,2013.0,2,Mujer,3
1107,2013.0,3,Hombre,9
1107,2013.0,3,Mujer,5
1107,2013.0,4,Hombre,2
1107,2013.0,4,Mujer,7
1107,2014.0,1,Hombre,4
1107,2014.0,1,Mujer,5
1107,2014.0,2,Hombre,4
1107,2014.0,2,Mujer,2
1107,2014.0,3,Hombre,1
1107,2014.0,3,Mujer,8
1107,2014.0,4,Hombre,6
1107,2014.0,4,Mujer,6
1107,2015.0,1,Hombre,2
1107,2015.0,1,Mujer,8
1107,2015.0,2,Hombre,2
1107,2015.0,2,Mujer,4
1107,2015.0,3,Hombre,5
1107,2015.0,3,Mujer,6
1107,2015.0,4,Hombre,7
1107,2015.0,4,Mujer,7
1107,2016.0,1,Hombre,4
1107,2016.0,1,Mujer,4
1107,2016.0,2,Hombre,5
1107,2016.0,2,Mujer,2
1107,2016.0,3,Hombre,4
1107,2016.0,3,Mujer,13
1107,2016.0,4,Hombre,7
1107,2016.0,4,Mujer,7
1107,2017.0,1,Hombre,1
