CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Mortality_Count
1101,2015,1,114
1101,2015,2,111
1101,2015,3,126
1101,2015,4,111
1101,2016,1,101
1101,2016,2,137
1101,2016,3,127
1101,2016,4,124
1101,2017,1,117
1101,2017,2,129
1101,2017,3,124
1101,2017,4,121
1101,2018,1,97
1101,2018,2,118
1101,2018,3,136
1101,2018,4,98
1101,2019,1,116
1101,2019,2,144
1101,2019,3,130
1101,2019,4,105
1107,2015,1,25
1107,2015,2,17
1107,2015,3,22
1107,2015,4,26
1107,2016,1,21
1107,2016,2,21
1107,2016,3,33
1107,2016,4,20
1107,2017,1,23
1107,2017,2,19
1107,2017,3,21
1107,2017,4,24
1107,2018,1,14
1107,2018,2,16
1107,2018,3,23
1107,2018,4,24
1107,2019,1,20
1107,2019,2,24
1107,2019,3,26
1107,2019,4,23
1401,2015,1,5
1401,2015,2,4
1401,2015,3,11
1401,2015,4,5
1401,2016,1,6
1401,2016,2,1
1401,2016,3,5
1401,2016,4,7
1401,2017,1,2
1401,2017,2,2
1401,2017,3,6
1401,2017,4,1
1401,2018,1,3
1401,2018,2,7
1401,2018,3,5
1401,2018,4,1
1401,2019,1,6
1401,2019,2,10
1401,2019,3,4
1401,2019,4,4
1402,2015,2,1
1402,2016,2,1
1402,2016,4,1
1402,2017,2,3
1402,2017,4,1
1402,2018,1,1
1402,2018,2,1
1402,2018,3,1
1403,2015,1,1
1403,2016,1,2
1403,2016,4,1
1403,2017,4,1
1403,2018,1,2
1403,2019,2,1
1404,2015,2,1
1404,2015,4,1
1404,2016,1,2
1404,2016,4,1
1404,2017,1,1
1404,2017,2,3
1404,2017,3,1
1404,2017,4,4
1404,2018,1,1
1404,2018,2,2
1404,2018,3,1
1404,2018,4,2
1404,2019,2,2
1404,2019,3,2
1404,2019,4,2
1405,2015,1,1
1405,2015,2,3
1405,2015,3,2
1405,2015,4,5
1405,2016,1,5
1405,2016,2,3
1405,2016,3,6
1405,2016,4,3
1405,2017,1,3
1405,2017,2,3
1405,2017,3,1
1405,2017,4,3
1405,2018,1,4
1405,2018,2,3
1405,2018,3,2
1405,2018,4,7
1405,2019,1,2
1405,2019,2,3
1405,2019,3,4
1405,2019,4,4
2101,2015,1,203
2101,2015,2,233
2101,2015,3,214
2101,2015,4,171
2101,2016,1,215
2101,2016,2,223
2101,2016,3,229
2101,2016,4,188
2101,2017,1,236
2101,2017,2,219
2101,2017,3,224
2101,2017,4,212
2101,2018,1,196
2101,2018,2,243
2101,2018,3,237
2101,2018,4,228
2101,2019,1,199
2101,2019,2,222
2101,2019,3,235
2101,2019,4,236
2102,2015,1,3
2102,2015,2,4
2102,2015,3,2
2102,2015,4,7
2102,2016,1,3
2102,2016,2,5
2102,2016,3,2
2102,2016,4,4
2102,2017,1,6
2102,2017,2,3
2102,2017,3,3
2102,2017,4,4
2102,2018,1,7
2102,2018,2,7
2102,2018,3,4
2102,2018,4,7
2102,2019,1,3
2102,2019,2,3
2102,2019,3,6
2102,2019,4,12
2103,2016,4,1
2104,2015,1,8
2104,2015,2,10
2104,2015,3,9
2104,2015,4,15
2104,2016,1,6
2104,2016,2,4
2104,2016,3,12
2104,2016,4,8
2104,2017,1,7
2104,2017,2,8
2104,2017,3,7
2104,2017,4,6
2104,2018,1,7
2104,2018,2,7
2104,2018,3,13
2104,2018,4,10
2104,2019,1,8
2104,2019,2,10
2104,2019,3,9
2104,2019,4,8
2201,2015,1,52
2201,2015,2,71
2201,2015,3,71
2201,2015,4,56
2201,2016,1,53
2201,2016,2,77
2201,2016,3,64
2201,2016,4,64
2201,2017,1,66
2201,2017,2,74
2201,2017,3,69
2201,2017,4,72
2201,2018,1,67
2201,2018,2,71
2201,2018,3,102
2201,2018,4,65
2201,2019,1,64
2201,2019,2,69
2201,2019,3,68
2201,2019,4,72
2203,2015,1,1
2203,2015,2,2
2203,2015,3,4
2203,2015,4,3
2203,2016,1,2
2203,2016,2,1
2203,2016,3,4
2203,2017,1,3
2203,2017,2,4
2203,2017,3,1
2203,2017,4,6
