"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness";"pm25_satellite"
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;3;"mp2.5";9.09916777777778;27;87.0967741935484;11.8030320005299
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;4;"mp2.5";8.50065107142857;28;90.3225806451613;15.4413775787072
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;5;"mp2.5";12.4254038709677;31;100;18.067635467622
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;6;"mp2.5";15.5026643333333;30;96.7741935483871;22.261855104692
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;7;"mp2.5";13.4226238709677;31;100;15.845413105972
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;8;"mp2.5";13.9158433333333;30;96.7741935483871;21.811950604371
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;9;"mp2.5";13.76016;30;96.7741935483871;22.5893412105772
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;10;"mp2.5";9.47343129032258;31;100;12.4733514805399
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;11;"mp2.5";9.450841;30;96.7741935483871;15.2283230541175
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;12;"mp2.5";7.84056965517241;29;93.5483870967742;14.8395318217581
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;1;"mp2.5";6.02692206896552;29;93.5483870967742;15.9938907033931
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;3;"mp2.5";14.7274419354839;31;100;14.8865612017171
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;4;"mp2.5";14.9811633333333;30;96.7741935483871;16.2322702685264
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;5;"mp2.5";13.4285714285714;28;90.3225806451613;14.230647990934
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;6;"mp2.5";13.9333333333333;30;96.7741935483871;17.7180874682632
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;7;"mp2.5";15.4516129032258;31;100;18.0082705866796
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;8;"mp2.5";14.2903225806452;31;100;19.6058135066197
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;9;"mp2.5";12.5;30;96.7741935483871;19.0373378609516
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;10;"mp2.5";12.2592592592593;27;87.0967741935484;14.8855295581326
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;11;"mp2.5";11.0333333333333;30;96.7741935483871;13.8072029593171
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;12;"mp2.5";12.1333333333333;30;96.7741935483871;14.8869496458986
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;1;"mp2.5";10.6129032258065;31;100;16.7259039850843
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;2;"mp2.5";9.29166666666667;24;77.4193548387097;13.6823604154754
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;3;"mp2.5";10.7741935483871;31;100;12.9407588284489
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;4;"mp2.5";11.6333333333333;30;96.7741935483871;17.3171170901773
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;5;"mp2.5";15.1290322580645;31;100;18.0736074991079
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;6;"mp2.5";16.9333333333333;30;96.7741935483871;17.2848191374361
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;7;"mp2.5";14.1666666666667;30;96.7741935483871;14.7920861511992
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;8;"mp2.5";12.3870967741935;31;100;19.0212519780056
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;9;"mp2.5";10.8;30;96.7741935483871;18.4913754228382
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;10;"mp2.5";8.45161290322581;31;100;13.1585595514287
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;11;"mp2.5";7.17241379310345;29;93.5483870967742;12.4056550613079
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;12;"mp2.5";6.76666666666667;30;96.7741935483871;12.5608848362001
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2019;1;"mp2.5";5.72;25;80.6451612903226;13.8996448140614
