"site";"latitude";"longitude"
"21 de mayo";-37.4711911170902;-72.3614706575401
"Alerce";-41.399169537038;-72.899522781372
"Alto Hospicio";-20.2904990614563;-70.1002241937709
"Antofagasta";-23.6135524278948;-70.3833269141901
"Arica";-18.4835271781409;-70.2905492243254
"Balneario Curanilahue";-37.4851231645302;-73.3316080408324
"Cauquenes Sivica";-35.9645065895232;-72.3170153395423
"Cerrillos I";-33.4928842335523;-70.7193286606829
"Cerro Merquín";-37.0211914819976;-73.1495612649135
"Cerro Navia";-33.433070402768;-70.7320550936643
"Concón MMA";-32.9262411069871;-71.5124634502457
"Consultorio - San Vicente";-36.7236901618213;-73.1236949146001
"Copiapo Sivica";-27.3700082456468;-70.3233122971258
"Coquimbo";-29.9706484846619;-71.3359111671868
"Coyhaique";-45.5799363589342;-72.0610848052617
"Coyhaique II";-45.5790464564684;-72.0499668121408
"Curicó";-34.9749435787699;-71.2339541819121
"El Bosque";-33.54701601897;-70.6661628607822
"Hualqui";-36.9774904060896;-72.9319425105152
"Huasco Sivica";-28.4699750351304;-71.2196575026675
"INIA, Chillán";-36.5948398968339;-72.0893103884349
"Kingston College";-36.7846497460433;-73.0520618128262
"La Florida";-33.5166668832046;-70.5881601035897
"La Florida-Talca";-35.4352233439442;-71.6781188939112
"La Serena";-29.9203957583954;-71.2560113121664
"La Union";-40.286857441758;-73.076710459412
"Las Condes";-33.3767760480796;-70.5232561485338
"Las Encinas Temuco";-38.748716856527;-72.620705821348
"Liceo Polivalente";-36.601716047451;-72.95852150094
"Linares";-35.8369692862414;-71.5928744623123
"Los Ángeles Oriente";-37.4630883867487;-72.3245517336468
"Mirasol";-41.4795290395201;-72.9688284796434
"Museo Ferroviario";-38.7252530174477;-72.5711409411702
"Ñielol";-38.726930315475;-72.579894727054
"Osorno";-40.5844982474739;-73.1186654148085
"Padre Las Casas II";-38.7647297790063;-72.5987915106651
"Parque O'Higgins";-33.4641765050683;-70.6607022934447
"Pudahuel";-33.4377853571256;-70.7501440879609
"Puente Alto";-33.5913562403892;-70.594430678157
"Puerto Varas";-41.329893037124;-72.9711189791496
"Punta Arenas";-53.1583477998541;-70.9215067997816
"Punteras";-36.9233163145735;-73.03612288871
"Puren";-36.6162177305052;-72.0930896791128
"Quilicura";-33.3496312950099;-70.7238457658324
"Quilicura I";-33.3658568782831;-70.7482185408749
"Quilpue";-33.0474413247694;-71.4345000749348
"Rancagua I";-34.1622833239376;-70.7139314127525
"Rancagua II";-34.1438867851583;-70.7371261564243
"Rengo";-34.394527035524;-70.8529869591204
"San Carlos";-36.5267751891327;-72.0698455639087
"San Fernando";-34.5798816256345;-70.9896709012778
"Talagante";-33.6738193129904;-70.9529961584255
"U.C. Maule";-35.4357717479047;-71.6194679090692
"Universidad de Talca";-35.4065738907982;-71.6332531371338
"Valdivia";-39.831346661127;-73.2284702731719
"Valdivia 2";-39.8055335644292;-73.2587212460245
"Valparaiso";-33.0495365969399;-71.6142353875432
"Vialidad";-45.4041830719139;-72.6874589442635
"Viña del Mar";-33.0203346362397;-71.5500974315639
