"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness"
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;3;"mp2.5";9.09916777777778;27;87.0967741935484
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;4;"mp2.5";8.50065107142857;28;90.3225806451613
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;5;"mp2.5";12.4254038709677;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;6;"mp2.5";15.5026643333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;7;"mp2.5";13.4226238709677;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;8;"mp2.5";13.9158433333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;9;"mp2.5";13.76016;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;10;"mp2.5";9.47343129032258;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;11;"mp2.5";9.450841;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;12;"mp2.5";7.84056965517241;29;93.5483870967742
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;1;"mp2.5";6.02692206896552;29;93.5483870967742
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;3;"mp2.5";14.7274419354839;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;4;"mp2.5";14.9811633333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;5;"mp2.5";13.4285714285714;28;90.3225806451613
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;6;"mp2.5";13.9333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;7;"mp2.5";15.4516129032258;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;8;"mp2.5";14.2903225806452;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;9;"mp2.5";12.5;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;10;"mp2.5";12.2592592592593;27;87.0967741935484
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;11;"mp2.5";11.0333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;12;"mp2.5";12.1333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;1;"mp2.5";10.6129032258065;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;2;"mp2.5";9.29166666666667;24;77.4193548387097
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;3;"mp2.5";10.7741935483871;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;4;"mp2.5";11.6333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;5;"mp2.5";15.1290322580645;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;6;"mp2.5";16.9333333333333;30;96.7741935483871
