"region";"province";"commune";"site";"longitude";"latitude";"year";"pollutant";"value";"n";"completeness"
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2016;"mp2.5";11.1576499056604;318;87.1232876712329
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2017;"mp2.5";12.7114991445428;339;92.8767123287671
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2018;"mp2.5";11.2234636871508;358;98.0821917808219
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2019;"mp2.5";11.1231671554252;341;93.4246575342466
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;"mp2.5";10.2773109243697;357;97.8082191780822
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;"mp2.5";12.1607142857143;280;76.7123287671233
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2022;"mp2.5";13.3494318181818;352;96.4383561643836
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;"mp2.5";11.6552361756374;353;96.7123287671233
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;"mp2.5";9.1336869121813;353;96.7123287671233
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;"mp2.5";8.40214062678063;351;96.1643835616438
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;"mp2.5";9.67567567567568;333;91.2328767123288
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;"mp2.5";11.9106145251397;358;98.0821917808219
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;"mp2.5";9.53521126760563;355;97.2602739726027
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;"mp2.5";10.6972222222222;360;98.6301369863014
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2022;"mp2.5";10.7465181058496;359;98.3561643835616
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;"mp2.5";19.2979388615385;325;89.041095890411
